,GeoFips,GeoName,Year,Real GDP,Population,state,code,Real GDP per capita,log GDP per capita
105,05000,Arkansas,1999,89115200000.0,2651860.0,Arkansas,AR,33604.79059980542,10.42242391316327
106,06000,California,1999,1574305900000.0,33499204.0,California,CA,46995.32263512888,10.757803357338398
107,08000,Colorado,1999,215294600000.0,4226018.0,Colorado,CO,50945.026736753134,10.838502423224288
108,09000,Connecticut,1999,202351700000.0,3386401.0,Connecticut,CT,59754.20512809912,10.997994846030247
109,10000,Delaware,1999,54236700000.0,774990.0,Delaware,DE,69983.74172569969,11.156018232993285
110,11000,District of Columbia,1999,84756200000.0,570213.0,District of Columbia,DC,148639.5434688441,11.909279482654656
111,12000,Florida,1999,615238200000.0,15759421.0,Florida,FL,39039.3911045336,10.572326443697756
112,13000,Georgia,1999,377127400000.0,8045965.0,Georgia,GA,46871.6182583444,10.755167616848235
113,15000,Hawaii,1999,54852100000.0,1210300.0,Hawaii,HI,45321.07741882178,10.721527488443243
114,16000,Idaho,1999,42510400000.0,1275674.0,Idaho,ID,33323.87428136029,10.41402936447216
115,17000,Illinois,1999,618148400000.0,12359020.0,Illinois,IL,50015.97214018587,10.82009767620301
116,18000,Indiana,1999,254089200000.0,6044969.0,Indiana,IN,42033.1684083078,10.646214309604908
117,19000,Iowa,1999,116523000000.0,2917634.0,Iowa,IA,39937.49730089518,10.595070943536669
118,20000,Kansas,1999,111005500000.0,2678338.0,Kansas,KS,41445.66518490198,10.632138575719534
119,21000,Kentucky,1999,155611500000.0,4018053.0,Kentucky,KY,38728.085468260375,10.564320338502561
120,22000,Louisiana,1999,211952500000.0,4460811.0,Louisiana,LA,47514.34212299064,10.768786883879578
121,23000,Maine,1999,46351400000.0,1266808.0,Maine,ME,36589.12794993401,10.507506424712954
122,24000,Maryland,1999,240946200000.0,5254509.0,Maryland,MD,45855.13127867894,10.733242385897658
123,25000,Massachusetts,1999,331602300000.0,6317345.0,Massachusetts,MA,52490.769460904856,10.868392613329314
124,26000,Michigan,1999,429936200000.0,9897116.0,Michigan,MI,43440.55379365059,10.679148702999175
125,27000,Minnesota,1999,232068100000.0,4873481.0,Minnesota,MN,47618.55027238231,10.770977675906337
126,28000,Mississippi,1999,87638000000.0,2828408.0,Mississippi,MS,30984.921553043267,10.341255963620961
127,29000,Missouri,1999,238452000000.0,5561948.0,Missouri,MO,42872.0297277141,10.665974904580727
128,30000,Montana,1999,30461300000.0,897507.0,Montana,MT,33939.902418588375,10.432346663668833
129,31000,Nebraska,1999,73625700000.0,1704764.0,Nebraska,NE,43188.20669605881,10.673322743816003
