,GeoName,Year,Real GDP per capita,log GDP per capita
484,Guangxi,2007,12924028484.444002,23.28235408890221
485,Hainan,2007,16381153070.661,23.51939730792797
486,Chongqing,2007,18458022071.808002,23.63876491357454
487,Sichuan,2007,14543359152.336,23.400400310727576
488,Guizhou,2007,8788990413.504,22.896765685790356
489,Yunnan,2007,12684787181.724,23.263669252696808
490,Tibet,2007,13288895431.812,23.310194593487036
491,Shaanxi,2007,17258593826.88,23.571576049229524
492,Gansu,2007,12108298097.432001,23.217156847676623
493,Qinghai,2007,15789573340.199997,23.482615643962255
494,Ningxia,2007,16665559128.049997,23.536610099181395
495,Xinjiang,2007,19393675630.095,23.688212851417937
496,Beijing,2006,57158426543.48289,24.769092662398318
497,Tianjin,2006,36872199173.9178,24.330723694116077
498,Hebei,2006,16404458112.01651,23.520818970934393
499,Shanxi,2006,15957399324.856321,23.493188466119943
500,Inner Mongolia,2006,19327956007.697746,23.68481838260443
501,Liaoning,2006,21983753883.52,23.813569557668952
502,Jilin,2006,13327057076.821486,23.31306217233077
503,Heilongjiang,2006,15819850114.751234,23.484531324825817
504,Shanghai,2006,60525211986.40436,24.826325842224612
505,Jiangsu,2006,31001575664.000256,24.157303868010843
506,Zhejiang,2006,33138452580.5025,24.223960154447973
507,Anhui,2006,11921758483.48056,23.201631011484977
508,Fujian,2006,22781237576.59008,23.849203120820327
509,Jiangxi,2006,12122347853.742723,23.21831651613231
510,Shandong,2006,22698380516.760002,23.845559416014737
511,Henan,2006,14491219239.214762,23.39680873323222
512,Hubei,2006,14891910284.029444,23.424083968498056
513,Hunan,2006,13264049915.55072,23.308323198567397
514,Guangdong,2006,30344620929.429306,24.13588510412883
515,Guangxi,2006,10686199696.111786,23.092218997946514
516,Hainan,2006,13985006403.936747,23.361251621514906
517,Chongqing,2006,15502040444.436483,23.464237493784168
518,Sichuan,2006,11902973760.515375,23.200054101686757
519,Guizhou,2006,7013509261.764768,22.671104020685583
520,Yunnan,2006,10487681345.744905,23.07346720019881
521,Tibet,2006,11430644384.83968,23.15956368979042
522,Shaanxi,2006,14202831660.914402,23.376707194414
523,Gansu,2006,10107147298.520248,23.036508663843914
524,Qinghai,2006,13137464998.348417,23.298733908890817
525,Ningxia,2006,13377391749.525475,23.31683193613609
526,Xinjiang,2006,16946779928.426634,23.553343678001294
527,Beijing,2005,51223878408.477646,24.659471635438354
528,Tianjin,2005,34239579774.067898,24.256648115191016
529,Hebei,2005,14683286960.704456,23.409975742474195
530,Shanxi,2005,14211614500.018215,23.377325389773766
531,Inner Mongolia,2005,16835941942.570953,23.546781839438893
532,Liaoning,2005,19414836538.26288,23.68930338074167
533,Jilin,2005,11671908255.634933,23.180450787926524
534,Heilongjiang,2005,14298177218.447945,23.38339789884623
535,Shanghai,2005,54884699363.139404,24.728500446492834
536,Jiangsu,2005,27241142827.99681,24.02799427138574
537,Zhejiang,2005,29002112345.810173,24.090634503790913
538,Anhui,2005,10454476001.785297,23.07029604918173
539,Fujian,2005,20156579771.116497,23.726796611546185
540,Jiangxi,2005,10413144809.031702,23.066334768959628
541,Shandong,2005,19544208319.415524,23.695944829840926
542,Henan,2005,12728264360.870602,23.267090897790606
543,Hubei,2005,13156870839.384129,23.300209956407574
544,Hunan,2005,11796220510.424063,23.191045021385623
545,Guangdong,2005,26737303234.547066,24.00932555217113
546,Guangxi,2005,9372295089.297976,22.96102384336367
547,Hainan,2005,12359229592.668404,23.237668956343057
548,Chongqing,2005,13851772205.043552,23.351679018436812
549,Sichuan,2005,10304291104.803091,23.055826257540073
550,Guizhou,2005,6056440478.644508,22.52438808469093
551,Yunnan,2005,9162074153.677471,22.93833842599068
552,Tibet,2005,10019894647.349386,23.027838418311266
553,Shaanxi,2005,11967514449.894327,23.205461686658186
554,Gansu,2005,8709742200.465412,22.887708029263194
555,Qinghai,2005,11397147655.144382,23.156628955351106
556,Ningxia,2005,11678865881.291317,23.181046710427548
557,Xinjiang,2005,14862965849.564932,23.42213844242937
558,Beijing,2004,46494740392.50205,24.562605033303655
559,Tianjin,2004,29519837350.562298,24.108328326858704
560,Hebei,2004,13327159381.671066,23.31306984877849
561,Shanxi,2004,12756208827.62336,23.26928395689338
562,Inner Mongolia,2004,14518361969.950418,23.398680027992423
563,Liaoning,2004,17928462148.262775,23.60965535112834
564,Jilin,2004,10768886565.508858,23.09992693980921
565,Heilongjiang,2004,12911254028.258493,23.28136517328108
566,Shanghai,2004,51117628438.04369,24.6573952538825
567,Jiangsu,2004,23399158082.274235,23.875965879272805
568,Zhejiang,2004,26921143182.93637,24.016177806755028
569,Anhui,2004,9838733180.20511,23.009592797873555
570,Fujian,2004,18810640771.300873,23.657688545139045
571,Jiangxi,2004,9353438162.198927,22.959009830537592
572,Shandong,2004,17009649258.551914,23.557046623420952
573,Henan,2004,11055825149.128012,23.126223288825685
574,Hubei,2004,11859458604.961119,23.196391580651213
575,Hunan,2004,10944121678.345789,23.1160683160347
576,Guangdong,2004,23694897398.850025,23.888525562280623
577,Guangxi,2004,8709077154.283918,22.887631669761635
578,Hainan,2004,11830282610.85269,23.19392840398802
579,Chongqing,2004,12732802800.946426,23.267447398175687
580,Sichuan,2004,9490498392.687119,22.973556965859117
581,Guizhou,2004,5122973309.126484,22.35700083188141
582,Yunnan,2004,8783700231.974777,22.89616359453458
583,Tibet,2004,9363079251.719896,22.9600400532185
584,Shaanxi,2004,10179834480.501282,23.043674588653822
585,Gansu,2004,7913577681.021233,22.79184581495546
586,Qinghai,2004,10541466646.312357,23.078582520883113
587,Ningxia,2004,11008187098.190847,23.12190511455826
588,Xinjiang,2004,13401801699.88634,23.318654990080383
589,Beijing,2003,40194305031.70747,24.416991156657904
590,Tianjin,2003,25891547850.748158,23.977182414583183
591,Hebei,2003,11429499696.732533,23.15946354273063
592,Shanxi,2003,10668997056.295893,23.090607901243793
593,Inner Mongolia,2003,12066603802.021324,23.213707457319217
594,Liaoning,2003,16672940876.142073,23.53705293543448
595,Jilin,2003,9519182976.30746,22.976574860250338
596,Heilongjiang,2003,11377984228.179155,23.154946117105787
597,Shanghai,2003,44481262275.713715,24.518333864986833
598,Jiangsu,2003,19994432784.700996,23.718719710985905
599,Zhejiang,2003,23661766342.187466,23.887126347916663
600,Anhui,2003,8461402041.493472,22.85878072277837
601,Fujian,2003,16722854142.710701,23.54004213235022
602,Jiangxi,2003,7860046604.20941,22.78505837265868
603,Shandong,2003,14165442876.92866,23.37407123531928
604,Henan,2003,9158011557.507208,22.93789491319266
605,Hubei,2003,10419088053.00598,23.066905350536253
606,Hunan,2003,9445608392.156084,22.968815750029304
607,Guangdong,2003,20723366530.692795,23.754527718489715
608,Guangxi,2003,7502902709.307152,22.738555810520314
609,Hainan,2003,10628953950.122616,23.08684761901341
610,Chongqing,2003,10907852354.206133,23.11274876628682
611,Sichuan,2003,8174985036.912241,22.824344723380925
612,Guizhou,2003,4529674092.979239,22.233915829698557
613,Yunnan,2003,7533815138.876016,22.74266740899938
614,Tibet,2003,8183499768.436239,22.82538574061379
615,Shaanxi,2003,8550070976.207,22.869205421171383
616,Gansu,2003,6788001285.504663,22.638422373697374
617,Qinghai,2003,9417841843.809235,22.965871795656845
618,Ningxia,2003,9663890136.940552,22.991662109794092
619,Xinjiang,2003,11888691485.735027,23.198853489930656
620,Beijing,2002,34775267142.070854,24.27217225674139
621,Tianjin,2002,22087681220.093544,23.818285879203437
622,Hebei,2002,9911057762.608843,23.01691691648525
623,Shanxi,2002,8606194207.459719,22.875748037626874
624,Inner Mongolia,2002,9834362823.805117,23.00914850009033
625,Liaoning,2002,15267003834.809393,23.448959724404087
626,Jilin,2002,9060454449.548256,22.92718511573762
627,Heilongjiang,2002,10155849983.761227,23.041315729486485
628,Shanghai,2002,39172422429.116806,24.39123882670262
629,Jiangsu,2002,17022134900.907942,23.557780387061303
630,Zhejiang,2002,19591435384.973743,23.698358337529204
631,Anhui,2002,7463848546.705888,22.73333700911542
632,Fujian,2002,14990410798.847395,23.430676553545144
633,Jiangxi,2002,6911095218.142342,22.656393959726977
634,Shandong,2002,13059788487.76042,23.292803765239384
635,Henan,2002,8062287011.188016,22.81046310150237
636,Hubei,2002,9211841826.068829,22.943755648335035
637,Hunan,2002,8339530014.259478,22.844272698522868
638,Guangdong,2002,17619257906.506638,23.592258340024195
639,Guangxi,2002,6753800397.972077,22.633371205315264
640,Hainan,2002,9610134661.472628,22.986084072470668
641,Chongqing,2002,9426704007.405523,22.96681235048046
642,Sichuan,2002,7312446288.166163,22.712843704269364
643,Guizhou,2002,3938947420.610855,22.09417937243554
644,Yunnan,2002,6802676317.303191,22.640581947771725
645,Tibet,2002,7274404849.514142,22.707627839030618
646,Shaanxi,2002,7382392011.376337,22.7223635438257
647,Gansu,2002,5989412898.974704,22.51325923074337
648,Qinghai,2002,8610924584.971403,22.876297534634794
649,Ningxia,2002,8307372166.771063,22.84040917038532
650,Xinjiang,2002,10154379995.071323,23.04117097596139
651,Beijing,2001,31254698333.851837,24.16543554851115
652,Tianjin,2001,20441884415.006294,23.74085179054743
653,Hebei,2001,9179863927.138086,22.94027821871711
654,Shanxi,2001,7550833211.716029,22.744923753285907
655,Inner Mongolia,2001,8756591025.704971,22.893072513838515
656,Liaoning,2001,14110234698.09499,23.370166236130984
657,Jilin,2001,8566841942.871452,22.871165000227535
658,Heilongjiang,2001,9614952780.206207,22.986585304920098
